#Table1
z,ra,dec
0.6515839,145.19933,-0.28622504
1.961112,145.21389,1.1517021
1.570566,145.4801,1.232539
1.045241,145.39104,1.171197
0.4448358,145.33887,1.1966007
1.475546,145.3386,0.140315
0.488738,145.38704,0.12528484
0.6948174,145.67367,0.94780421
0.3531286,150.56599,-0.18226843
0.08547033,150.48304,0.62983799
0.7805043,150.35611,0.86824367
1.356151,150.47733,0.75718711
2.167938,150.69524,0.35111674
0.3276152,158.73871,-1.0358418
2.045891,158.65624,-0.88338127
0.304473,158.74418,-0.7649548
0.2873466,159.26291,-0.31522617
1.790599,158.5282,-1.0242064
0.9176108,158.88399,-0.44052944
2.061764,158.9373,-0.49022279
1.262665,158.15353,-1.1030662
2.151553,158.19055,-0.81939438
1.103929,158.603,-0.62828576
1.870873,158.61488,-0.37605504
1.640659,158.46616,-0.40398281
0.8544741,158.56797,-0.17868389
1.583006,164.58208,0.064329322
1.72093,165.9367,-0.85073849
0.4570519,166.12644,-0.55367956
0.3324383,166.25829,-0.74849605
1.345805,166.17011,-0.078229752
0.1560279,165.6288,-1.0916415
1.848061,165.86037,-0.11829192
2.12207,171.50577,-0.75250594
1.409506,171.06506,-0.44656698
1.692607,171.42623,0.017036962
0.2445746,171.25266,0.24478524
1.765893,170.5454,-1.1909753
1.765363,175.18196,-0.023969277
1.706908,175.13378,0.32883922
1.942895,176.9399,-0.93597749
1.254027,176.9815,-1.0968438
1.396299,177.27309,-0.65795928
0.7410452,177.28809,-0.39717518
1.597327,177.47892,0.21536445
0.1270759,177.59829,0.14418153
0.1395962,177.70919,0.75164222
0.9321212,177.38141,0.71174659
1.051588,177.73534,0.36811167
1.770599,177.77222,0.49121561
1.752592,177.74472,0.91789262
1.281441,177.7413,0.95504323
0.4015898,184.00725,-1.0406998
0.1572527,184.15443,-0.37777574
1.322664,184.20723,-0.46954271
1.824395,183.79555,-1.1192237
0.3278842,183.43234,-1.00072
0.2533595,183.42051,-0.58024884
1.301266,183.34956,-0.58784591
1.82736,183.49333,-0.080326781
0.1699317,149.34127,0.298858
0.06550524,149.9147,0.58670266
0.4173793,154.04122,0.16803791
1.478447,154.01775,0.20358453
0.8786469,154.03325,0.88341759
0.1883107,154.15276,0.22596864
1.010561,154.03949,0.46962903
2.086109,154.24826,0.3783393
